employee_id,plan_id,attained_age_years,retirement_age,years_to_retirement,contribution_basis_rule,salary_basis_source,annual_contribution_basis,employer_contribution_rate,employee_contribution_rate,current_annual_employer_contribution,current_annual_employee_contribution,current_annual_total_contribution,contribution_frequency,expected_investment_return,annual_charges_rate,net_investment_return,dc_salary_escalation_rate,opening_member_corpus,opening_member_corpus_available,projected_opening_corpus_at_retirement,projected_future_contribution_corpus,projected_member_corpus_from_available_data,model_status,review_flag
E00025,SUP_DC_01,38.888432580424364,60.0,21.111567419575636,basic_salary_monthly,basic_salary_monthly,736800.0,0.15,0.0,110520.0,0.0,110520.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,8444546.90254601,8444546.90254601,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00026,SUP_DC_01,41.82614647501711,60.0,18.17385352498289,basic_salary_monthly,basic_salary_monthly,2511600.0,0.15,0.0,376740.0,0.0,376740.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,20735269.541657496,20735269.541657496,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00028,SUP_DC_02,51.32101300479124,60.0,8.67898699520876,pensionable_salary_annual,pensionable_salary_annual,570000.0,0.1,0.05,57000.0,28500.0,85500.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,1294681.3048408036,1294681.3048408036,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00034,SUP_DC_01,33.36618754277892,60.0,26.633812457221083,basic_salary_monthly,basic_salary_monthly,757200.0,0.15,0.0,113580.0,0.0,113580.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,15324608.755637925,15324608.755637925,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00036,SUP_DC_01,35.10746064339494,60.0,24.892539356605063,basic_salary_monthly,basic_salary_monthly,258000.0,0.15,0.0,38700.0,0.0,38700.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4386141.898393163,4386141.898393163,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00042,SUP_DC_01,36.780287474332646,60.0,23.219712525667354,basic_salary_monthly,basic_salary_monthly,544800.0,0.15,0.0,81720.0,0.0,81720.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,7802171.045646311,7802171.045646311,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00044,SUP_DC_02,36.50924024640657,60.0,23.49075975359343,pensionable_salary_annual,pensionable_salary_annual,1321000.0,0.1,0.05,132100.0,66050.0,198150.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,21012337.449385922,21012337.449385922,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00046,SUP_DC_02,53.5523613963039,60.0,6.447638603696099,pensionable_salary_annual,pensionable_salary_annual,2250000.0,0.1,0.05,225000.0,112500.0,337500.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,3277998.620065611,3277998.620065611,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00050,SUP_DC_01,33.22655715263518,60.0,26.77344284736482,basic_salary_monthly,basic_salary_monthly,1131600.0,0.15,0.0,169740.0,0.0,169740.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,23243927.071171492,23243927.071171492,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00051,SUP_DC_01,40.2299794661191,60.0,19.770020533880903,basic_salary_monthly,basic_salary_monthly,1154400.0,0.15,0.0,173160.0,0.0,173160.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,11420339.378806615,11420339.378806615,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00052,SUP_DC_02,22.308008213552363,60.0,37.69199178644764,pensionable_salary_annual,pensionable_salary_annual,468000.0,0.1,0.05,46800.0,23400.0,70200.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,29875880.61632772,29875880.61632772,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00053,SUP_DC_01,51.7782340862423,60.0,8.2217659137577,basic_salary_monthly,basic_salary_monthly,1638000.0,0.15,0.0,245700.0,0.0,245700.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,3312839.2381244125,3312839.2381244125,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00056,SUP_DC_02,44.58316221765914,60.0,15.416837782340863,pensionable_salary_annual,pensionable_salary_annual,1418000.0,0.1,0.05,141800.0,70900.0,212700.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,8836263.954915037,8836263.954915037,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00057,SUP_DC_01,27.24435318275154,60.0,32.75564681724846,basic_salary_monthly,basic_salary_monthly,674400.0,0.15,0.0,101160.0,0.0,101160.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,24431229.396184746,24431229.396184746,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00060,SUP_DC_01,35.61396303901437,60.0,24.386036960985628,basic_salary_monthly,basic_salary_monthly,448800.0,0.15,0.0,67320.0,0.0,67320.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,7248849.854510292,7248849.854510292,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00061,SUP_DC_01,30.872005475701574,60.0,29.127994524298426,basic_salary_monthly,basic_salary_monthly,279600.0,0.15,0.0,41940.0,0.0,41940.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,7208424.413194149,7208424.413194149,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00062,SUP_DC_01,35.93976728268309,60.0,24.060232717316907,basic_salary_monthly,basic_salary_monthly,702000.0,0.15,0.0,105300.0,0.0,105300.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,10962881.209348245,10962881.209348245,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00063,SUP_DC_01,35.4715947980835,60.0,24.5284052019165,basic_salary_monthly,basic_salary_monthly,340800.0,0.15,0.0,51120.0,0.0,51120.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,5590795.956510882,5590795.956510882,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00066,SUP_DC_02,34.390143737166326,60.0,25.609856262833674,pensionable_salary_annual,pensionable_salary_annual,1658000.0,0.1,0.05,165800.0,82900.0,248700.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,33027713.997313134,33027713.997313134,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00071,SUP_DC_01,50.29705681040383,60.0,9.70294318959617,basic_salary_monthly,basic_salary_monthly,4021200.0,0.15,0.0,603180.0,0.0,603180.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,10537042.035983704,10537042.035983704,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00074,SUP_DC_01,28.91170431211499,60.0,31.08829568788501,basic_salary_monthly,basic_salary_monthly,1196400.0,0.15,0.0,179460.0,0.0,179460.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,37156934.00064841,37156934.00064841,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00077,SUP_DC_01,41.52498288843258,60.0,18.475017111567418,basic_salary_monthly,basic_salary_monthly,754800.0,0.15,0.0,113220.0,0.0,113220.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,6433682.21485966,6433682.21485966,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00081,SUP_DC_01,32.58590006844627,60.0,27.41409993155373,basic_salary_monthly,basic_salary_monthly,1047600.0,0.15,0.0,157140.0,0.0,157140.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,22861476.795200136,22861476.795200136,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00084,SUP_DC_01,34.03148528405202,60.0,25.968514715947983,basic_salary_monthly,basic_salary_monthly,590400.0,0.15,0.0,88560.0,0.0,88560.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,11185795.574959256,11185795.574959256,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00085,SUP_DC_02,39.671457905544145,60.0,20.328542094455855,pensionable_salary_annual,pensionable_salary_annual,1018000.0,0.1,0.05,101800.0,50900.0,152700.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,11425065.925616316,11425065.925616316,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00087,SUP_DC_01,38.13278576317591,60.0,21.86721423682409,basic_salary_monthly,basic_salary_monthly,864000.0,0.15,0.0,129600.0,0.0,129600.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,10738278.66287413,10738278.66287413,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00092,SUP_DC_02,52.0766598220397,60.0,7.9233401779602985,pensionable_salary_annual,pensionable_salary_annual,1121000.0,0.1,0.05,112100.0,56050.0,168150.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,2215625.7776567726,2215625.7776567726,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00102,SUP_DC_01,44.83504449007529,60.0,15.16495550992471,basic_salary_monthly,basic_salary_monthly,1078800.0,0.15,0.0,161820.0,0.0,161820.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,6153953.392986173,6153953.392986173,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00103,SUP_DC_01,46.620123203285424,60.0,13.379876796714576,basic_salary_monthly,basic_salary_monthly,996000.0,0.15,0.0,149400.0,0.0,149400.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4504664.930924796,4504664.930924796,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00108,SUP_DC_02,20.041067761806982,60.0,39.958932238193015,pensionable_salary_annual,pensionable_salary_annual,364000.0,0.1,0.05,36400.0,18200.0,54600.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,28493841.243677687,28493841.243677687,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00110,SUP_DC_01,33.908281998631075,60.0,26.091718001368925,basic_salary_monthly,basic_salary_monthly,882000.0,0.15,0.0,132300.0,0.0,132300.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,16946333.278845135,16946333.278845135,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00112,SUP_DC_02,42.510609171800134,60.0,17.489390828199866,pensionable_salary_annual,pensionable_salary_annual,622000.0,0.1,0.05,62200.0,31100.0,93300.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,5001925.744001552,5001925.744001552,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00115,SUP_DC_01,33.69199178644764,60.0,26.308008213552363,basic_salary_monthly,basic_salary_monthly,796800.0,0.15,0.0,119520.0,0.0,119520.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,15610228.28951646,15610228.28951646,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00119,SUP_DC_02,24.249144421629023,60.0,35.750855578370974,pensionable_salary_annual,pensionable_salary_annual,672000.0,0.1,0.05,67200.0,33600.0,100800.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,35934866.08630853,35934866.08630853,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00120,SUP_DC_01,41.96303901437371,60.0,18.036960985626287,basic_salary_monthly,basic_salary_monthly,1461600.0,0.15,0.0,219240.0,0.0,219240.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,11855845.245923925,11855845.245923925,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00121,SUP_DC_01,38.57905544147844,60.0,21.420944558521562,basic_salary_monthly,basic_salary_monthly,819600.0,0.15,0.0,122940.0,0.0,122940.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,9724299.746811543,9724299.746811543,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00122,SUP_DC_01,35.403148528405204,60.0,24.596851471594796,basic_salary_monthly,basic_salary_monthly,624000.0,0.15,0.0,93600.0,0.0,93600.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,10314777.98751972,10314777.98751972,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00128,SUP_DC_02,40.92265571526352,60.0,19.077344284736483,pensionable_salary_annual,pensionable_salary_annual,869000.0,0.1,0.05,86900.0,43450.0,130350.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,8443192.600208487,8443192.600208487,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00129,SUP_DC_01,40.602327173169066,60.0,19.397672826830934,basic_salary_monthly,basic_salary_monthly,548400.0,0.15,0.0,82260.0,0.0,82260.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,5191071.053502016,5191071.053502016,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00130,SUP_DC_02,41.36618754277892,60.0,18.633812457221083,pensionable_salary_annual,pensionable_salary_annual,1536000.0,0.1,0.05,153600.0,76800.0,230400.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,14187260.495918684,14187260.495918684,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00134,SUP_DC_01,23.15126625598905,60.0,36.84873374401095,basic_salary_monthly,basic_salary_monthly,316800.0,0.15,0.0,47520.0,0.0,47520.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,16569092.155552424,16569092.155552424,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00137,SUP_DC_01,49.69472963723477,60.0,10.305270362765228,basic_salary_monthly,basic_salary_monthly,2404800.0,0.15,0.0,360720.0,0.0,360720.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,6931466.976869978,6931466.976869978,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00139,SUP_DC_01,23.318275154004105,60.0,36.681724845995895,basic_salary_monthly,basic_salary_monthly,475200.0,0.15,0.0,71280.0,0.0,71280.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,24490341.604313526,24490341.604313526,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00140,SUP_DC_02,33.25119780971937,60.0,26.748802190280628,pensionable_salary_annual,pensionable_salary_annual,816000.0,0.1,0.05,81600.0,40800.0,122400.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,18228120.16132904,18228120.16132904,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00145,SUP_DC_02,50.24229979466119,60.0,9.757700205338807,pensionable_salary_annual,pensionable_salary_annual,1056000.0,0.1,0.05,105600.0,52800.0,158400.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,2892199.407096651,2892199.407096651,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00147,SUP_DC_01,61.295003422313485,60.0,0.0,basic_salary_monthly,basic_salary_monthly,1218000.0,0.15,0.0,182700.0,0.0,182700.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,0.0,0.0,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00149,SUP_DC_02,25.52498288843258,60.0,34.475017111567425,pensionable_salary_annual,pensionable_salary_annual,283000.0,0.1,0.05,28300.0,14150.0,42450.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,13417190.645849673,13417190.645849673,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00161,SUP_DC_01,50.20396988364134,60.0,9.796030116358658,basic_salary_monthly,basic_salary_monthly,478800.0,0.15,0.0,71820.0,0.0,71820.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,1272629.2739898982,1272629.2739898982,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00162,SUP_DC_01,48.51471594798083,60.0,11.485284052019168,basic_salary_monthly,basic_salary_monthly,1358400.0,0.15,0.0,203760.0,0.0,203760.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4686309.469585384,4686309.469585384,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00163,SUP_DC_01,33.609856262833674,60.0,26.390143737166326,basic_salary_monthly,basic_salary_monthly,1221600.0,0.15,0.0,183240.0,0.0,183240.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,24129186.887915317,24129186.887915317,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00168,SUP_DC_02,44.56673511293634,60.0,15.433264887063658,pensionable_salary_annual,pensionable_salary_annual,850000.0,0.1,0.05,85000.0,42500.0,127500.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,5302069.805710954,5302069.805710954,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00173,SUP_DC_01,52.4435318275154,60.0,7.5564681724846,basic_salary_monthly,basic_salary_monthly,1771200.0,0.15,0.0,265680.0,0.0,265680.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,3159000.3252752637,3159000.3252752637,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00174,SUP_DC_01,21.023956194387406,60.0,38.97604380561259,basic_salary_monthly,basic_salary_monthly,249600.0,0.15,0.0,37440.0,0.0,37440.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,15703264.579006162,15703264.579006162,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00175,SUP_DC_01,38.59000684462697,60.0,21.40999315537303,basic_salary_monthly,basic_salary_monthly,1138800.0,0.15,0.0,170820.0,0.0,170820.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,13447968.12652098,13447968.12652098,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00177,SUP_DC_02,32.10951403148528,60.0,27.890485968514717,pensionable_salary_annual,pensionable_salary_annual,492000.0,0.1,0.05,49200.0,24600.0,73800.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,12346986.896114655,12346986.896114655,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00181,SUP_DC_02,40.421629021218344,60.0,19.578370978781656,pensionable_salary_annual,pensionable_salary_annual,1643000.0,0.1,0.05,164300.0,82150.0,246450.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,16920012.66069775,16920012.66069775,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00182,SUP_DC_02,49.5523613963039,60.0,10.447638603696099,pensionable_salary_annual,pensionable_salary_annual,830000.0,0.1,0.05,83000.0,41500.0,124500.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,2538605.9712811136,2538605.9712811136,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00183,SUP_DC_01,38.47501711156742,60.0,21.524982888432582,basic_salary_monthly,basic_salary_monthly,805200.0,0.15,0.0,120780.0,0.0,120780.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,9651273.334201034,9651273.334201034,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00185,SUP_DC_01,40.84052019164955,60.0,19.159479808350447,basic_salary_monthly,basic_salary_monthly,1363200.0,0.15,0.0,204480.0,0.0,204480.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,12552966.090716466,12552966.090716466,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00186,SUP_DC_01,44.95824777549623,60.0,15.041752224503767,basic_salary_monthly,basic_salary_monthly,727200.0,0.15,0.0,109080.0,0.0,109080.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4094800.077932889,4094800.077932889,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00192,SUP_DC_01,53.817932922655714,60.0,6.182067077344286,basic_salary_monthly,basic_salary_monthly,4244400.0,0.15,0.0,636660.0,0.0,636660.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,5724332.889164598,5724332.889164598,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00197,SUP_DC_02,30.95687885010267,60.0,29.04312114989733,pensionable_salary_annual,pensionable_salary_annual,452000.0,0.1,0.05,45200.0,22600.0,67800.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,12729355.918874988,12729355.918874988,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00201,SUP_DC_01,20.36413415468857,60.0,39.63586584531143,basic_salary_monthly,basic_salary_monthly,507600.0,0.15,0.0,76140.0,0.0,76140.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,33817109.50025921,33817109.50025921,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00203,SUP_DC_01,47.48254620123203,60.0,12.517453798767967,basic_salary_monthly,basic_salary_monthly,1119600.0,0.15,0.0,167940.0,0.0,167940.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4504224.648108356,4504224.648108356,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00205,SUP_DC_01,50.03422313483915,60.0,9.965776865160848,basic_salary_monthly,basic_salary_monthly,682800.0,0.15,0.0,102420.0,0.0,102420.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,1865071.2290597353,1865071.2290597353,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00209,SUP_DC_02,30.469541409993155,60.0,29.530458590006845,pensionable_salary_annual,pensionable_salary_annual,356000.0,0.1,0.05,35600.0,17800.0,53400.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,10524073.53475956,10524073.53475956,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00210,SUP_DC_01,39.917864476386036,60.0,20.082135523613964,basic_salary_monthly,basic_salary_monthly,612000.0,0.15,0.0,91800.0,0.0,91800.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,6248135.178489546,6248135.178489546,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00215,SUP_DC_02,31.690622861054074,60.0,28.309377138945926,pensionable_salary_annual,pensionable_salary_annual,601000.0,0.1,0.05,60100.0,30050.0,90150.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,15726372.885498656,15726372.885498656,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00216,SUP_DC_02,20.05475701574264,60.0,39.94524298425736,pensionable_salary_annual,pensionable_salary_annual,389000.0,0.1,0.05,38900.0,19450.0,58350.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,30425484.05683907,30425484.05683907,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00219,SUP_DC_02,23.761806981519506,60.0,36.238193018480494,pensionable_salary_annual,pensionable_salary_annual,394000.0,0.1,0.05,39400.0,19700.0,59100.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,21988446.036104478,21988446.036104478,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00220,SUP_DC_02,50.17659137577002,60.0,9.823408624229977,pensionable_salary_annual,pensionable_salary_annual,6094000.0,0.1,0.05,609400.0,304700.0,914100.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,16757260.760459783,16757260.760459783,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
