employee_id,plan_id,product_type,attained_age_years,model_input_quality_status,mortality_A,mortality_B,mortality_c,mortality_intensity_at_age,q_death_standalone_1y,decrement_engine_version
E00150,GRAT_ENH_02,Gratuity,40.5201916495551,Observed_or_Validated,0.0002,1e-05,1.1,0.000675597469815787,0.0006987554131339269,P06-C01
E00180,GRAT_ENH_02,Gratuity,38.39835728952772,Observed_or_Validated,0.0002,1e-05,1.1,0.0005885179726751051,0.0006074507640709716,P06-C01
E00184,GRAT_ENH_02,Gratuity,61.3388090349076,Review,0.0002,1e-05,1.1,0.0036592186231699654,0.0038221095546058024,P06-C01
E00197,GRAT_ENH_02,Gratuity,30.95687885010267,Observed_or_Validated,0.0002,1e-05,1.1,0.00039115617849518834,0.0004004819699992087,P06-C01
E00200,GRAT_ENH_02,Gratuity,49.00479123887748,Observed_or_Validated,0.0002,1e-05,1.1,0.0012676770191372329,0.00131934189659413,P06-C01
E00213,GRAT_ENH_02,Gratuity,37.46201232032854,Observed_or_Validated,0.0002,1e-05,1.1,0.0005553475139102672,0.0005726686597058243,P06-C01
E00222,GRAT_ENH_02,Gratuity,38.5845311430527,Observed_or_Validated,0.0002,1e-05,1.1,0.000595473465488527,0.0006147440483183048,P06-C01
E00236,GRAT_ENH_02,Gratuity,45.48117727583847,Observed_or_Validated,0.0002,1e-05,1.1,0.000963111593538998,0.0010001606680084395,P06-C01
E00239,GRAT_ENH_02,Gratuity,46.34360027378508,Observed_or_Validated,0.0002,1e-05,1.1,0.001028487681126449,0.001068682688692567,P06-C01
E00242,GRAT_ENH_02,Gratuity,35.29911019849418,Observed_or_Validated,0.0002,1e-05,1.1,0.0004891511705801637,0.0005032524311157867,P06-C01
E00248,GRAT_ENH_02,Gratuity,43.898699520876114,Observed_or_Validated,0.0002,1e-05,1.1,0.0008562737721673636,0.0008881716351219648,P06-C01
E00252,GRAT_ENH_02,Gratuity,38.247775496235455,Observed_or_Validated,0.0002,1e-05,1.1,0.0005829817939436757,0.0006016456844291624,P06-C01
E00269,GRAT_ENH_02,Gratuity,27.044490075290895,Observed_or_Validated,0.0002,1e-05,1.1,0.0003316570327786503,0.00033807817014211926,P06-C01
E00270,GRAT_ENH_02,Gratuity,23.279945242984258,Observed_or_Validated,0.0002,1e-05,1.1,0.0002919643369397941,0.00029644557335591114,P06-C01
E00274,GRAT_ENH_02,Gratuity,44.903490759753595,Observed_or_Validated,0.0002,1e-05,1.1,0.0009222308835967383,0.0009573103674245607,P06-C01
E00277,GRAT_ENH_02,Gratuity,49.06776180698152,Observed_or_Validated,0.0002,1e-05,1.1,0.0012741042027566286,0.0013260764157587432,P06-C01
E00288,GRAT_ENH_02,Gratuity,41.242984257357975,Observed_or_Validated,0.0002,1e-05,1.1,0.0007095160421489321,0.0007343174784934589,P06-C01
E00290,GRAT_ENH_02,Gratuity,44.79671457905544,Observed_or_Validated,0.0002,1e-05,1.1,0.0009149181167921492,0.0009496450852277521,P06-C01
E00294,GRAT_ENH_02,Gratuity,38.29705681040383,Observed_or_Validated,0.0002,1e-05,1.1,0.0005847848948872577,0.0006035363685248515,P06-C01
E00297,GRAT_ENH_02,Gratuity,44.17796030116359,Observed_or_Validated,0.0002,1e-05,1.1,0.0008739759533046297,0.0009067281989140754,P06-C01
E00301,GRAT_ENH_02,Gratuity,44.479123887748116,Observed_or_Validated,0.0002,1e-05,1.1,0.000893602055006556,0.0009273011369972414,P06-C01
E00316,GRAT_ENH_02,Gratuity,48.550308008213555,Observed_or_Validated,0.0002,1e-05,1.1,0.001222415944645529,0.001271915238670603,P06-C01
E00337,GRAT_ENH_02,Gratuity,59.48254620123203,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.003098293129474852,0.0032356600932288496,P06-C01
E00354,GRAT_ENH_02,Gratuity,39.52908966461328,Observed_or_Validated,0.0002,1e-05,1.1,0.0006327281650129218,0.0006538071052237299,P06-C01
E00373,GRAT_ENH_02,Gratuity,23.091033538672143,Observed_or_Validated,0.0002,1e-05,1.1,0.0002903233176582463,0.00029472431522344035,P06-C01
E00376,GRAT_ENH_02,Gratuity,32.158795345653665,Observed_or_Validated,0.0002,1e-05,1.1,0.0004143576024079842,0.0004248149949991561,P06-C01
E00388,GRAT_ENH_02,Gratuity,33.544147843942504,Observed_or_Validated,0.0002,1e-05,1.1,0.00044461458645390255,0.0004565468104573017,P06-C01
E00391,GRAT_ENH_02,Gratuity,37.69472963723477,Observed_or_Validated,0.0002,1e-05,1.1,0.0005633172982754358,0.0005810257806697324,P06-C01
E00406,GRAT_ENH_02,Gratuity,54.95687885010267,Observed_or_Validated,0.0002,1e-05,1.1,0.002082837257506572,0.002173119250394311,P06-C01
E00410,GRAT_ENH_02,Gratuity,35.53730321697468,Observed_or_Validated,0.0002,1e-05,1.1,0.0004957906239062378,0.0005102150545256231,P06-C01
E00418,GRAT_ENH_02,Gratuity,53.37713894592745,Observed_or_Validated,0.0002,1e-05,1.1,0.0018196572040072782,0.001897551212715079,P06-C01
E00420,GRAT_ENH_02,Gratuity,41.86721423682409,Observed_or_Validated,0.0002,1e-05,1.1,0.0007407498620972899,0.0007670635850234589,P06-C01
E00421,GRAT_ENH_02,Gratuity,34.757015742642025,Observed_or_Validated,0.0002,1e-05,1.1,0.00047459094371863297,0.0004879833270364852,P06-C01
E00430,GRAT_ENH_02,Gratuity,38.88021902806297,Observed_or_Validated,0.0002,1e-05,1.1,0.0006067772585694945,0.0006265966932032324,P06-C01
E00432,GRAT_ENH_02,Gratuity,32.799452429842574,Observed_or_Validated,0.0002,1e-05,1.1,0.0004278543938689213,0.00043896979181817547,P06-C01
E00435,GRAT_ENH_02,Gratuity,29.913757700205338,Observed_or_Validated,0.0002,1e-05,1.1,0.00037306560080459,0.00038150865109860506,P06-C01
E00439,GRAT_ENH_02,Gratuity,35.08008213552361,Observed_or_Validated,0.0002,1e-05,1.1,0.0004831775338030467,0.0004969879908924338,P06-C01
E00452,GRAT_ENH_02,Gratuity,33.36344969199179,Observed_or_Validated,0.0002,1e-05,1.1,0.0004404378129338942,0.0004521665062928217,P06-C01
E00460,GRAT_ENH_02,Gratuity,50.75154004106776,Observed_or_Validated,0.0002,1e-05,1.1,0.0014610796519282294,0.0015219727946302795,P06-C01
E00486,GRAT_ENH_02,Gratuity,37.89733059548254,Observed_or_Validated,0.0002,1e-05,1.1,0.0005704011050461217,0.0005884538063029647,P06-C01
E00491,GRAT_ENH_02,Gratuity,45.96577686516085,Observed_or_Validated,0.0002,1e-05,1.1,0.0009991842747148203,0.0010379697675514318,P06-C01
E00493,GRAT_ENH_02,Gratuity,34.691307323750856,Observed_or_Validated,0.0002,1e-05,1.1,0.00047287664183861893,0.00048618554754035505,P06-C01
E00516,GRAT_ENH_02,Gratuity,30.099931553730322,Observed_or_Validated,0.0002,1e-05,1.1,0.00037616392990982687,0.00038475819069465193,P06-C01
E00519,GRAT_ENH_02,Gratuity,33.97946611909651,Observed_or_Validated,0.0002,1e-05,1.1,0.00045497719721153147,0.00046741429959028057,P06-C01
E00523,GRAT_ENH_02,Gratuity,41.72210814510609,Observed_or_Validated,0.0002,1e-05,1.1,0.00073332272147082,0.0007592769325705573,P06-C01
E00541,GRAT_ENH_02,Gratuity,21.949349760438057,Observed_or_Validated,0.0002,1e-05,1.1,0.00028101072596683504,0.000284956321347119,P06-C01
E00542,GRAT_ENH_02,Gratuity,38.82819986310746,Observed_or_Validated,0.0002,1e-05,1.1,0.0006047654661440406,0.0006244872291680144,P06-C01
E00548,GRAT_ENH_02,Gratuity,25.78507871321013,Observed_or_Validated,0.0002,1e-05,1.1,0.00031676525845554835,0.0003224587934190184,P06-C01
E00558,GRAT_ENH_02,Gratuity,20.383299110198493,Observed_or_Validated,0.0002,1e-05,1.1,0.0002697781550714583,0.0002731743309057611,P06-C01
E00560,GRAT_ENH_02,Gratuity,34.46132785763176,Observed_or_Validated,0.0002,1e-05,1.1,0.0004669604305955088,0.000479981222638359,P06-C01
E00563,GRAT_ENH_02,Gratuity,36.068446269678304,Observed_or_Validated,0.0002,1e-05,1.1,0.0005111500252667785,0.0005263218765863417,P06-C01
E00573,GRAT_ENH_02,Gratuity,48.238193018480494,Observed_or_Validated,0.0002,1e-05,1.1,0.0011924493147756063,0.0012405135715907727,P06-C01
E00576,GRAT_ENH_02,Gratuity,38.76522929500342,Observed_or_Validated,0.0002,1e-05,1.1,0.0006023434460392676,0.0006219476151786011,P06-C01
E00582,GRAT_ENH_02,Gratuity,37.43189596167009,Observed_or_Validated,0.0002,1e-05,1.1,0.0005543289884692806,0.0005716006282433028,P06-C01
E00610,GRAT_ENH_02,Gratuity,22.770704996577688,Observed_or_Validated,0.0002,1e-05,1.1,0.0002876073659407654,0.0002918755585275804,P06-C01
E00620,GRAT_ENH_02,Gratuity,44.71731690622861,Observed_or_Validated,0.0002,1e-05,1.1,0.0009095284593916576,0.0009439955791893398,P06-C01
E00625,GRAT_ENH_02,Gratuity,33.72210814510609,Observed_or_Validated,0.0002,1e-05,1.1,0.00044879898559967743,0.00046093509258950344,P06-C01
E00628,GRAT_ENH_02,Gratuity,37.89733059548254,Observed_or_Validated,0.0002,1e-05,1.1,0.0005704011050461217,0.0005884538063029647,P06-C01
E00639,GRAT_ENH_02,Gratuity,32.9719370294319,Observed_or_Validated,0.0002,1e-05,1.1,0.000431631174083849,0.00044293066446638146,P06-C01
E00642,GRAT_ENH_02,Gratuity,47.44695414099932,Observed_or_Validated,0.0002,1e-05,1.1,0.0011203580907049615,0.0011649660097244577,P06-C01
E00654,GRAT_ENH_02,Gratuity,43.77275838466804,Observed_or_Validated,0.0002,1e-05,1.1,0.0008484432985543604,0.0008799631195544243,P06-C01
E00655,GRAT_ENH_02,Gratuity,45.106091718001366,Observed_or_Validated,0.0002,1e-05,1.1,0.0009363126354084628,0.0009720707710951652,P06-C01
E00666,GRAT_ENH_02,Gratuity,27.411362080766597,Observed_or_Validated,0.0002,1e-05,1.1,0.00033634206906501033,0.00034299206378557494,P06-C01
E00670,GRAT_ENH_02,Gratuity,49.46748802190281,Observed_or_Validated,0.0002,1e-05,1.1,0.0013158149020754348,0.0013697805367228423,P06-C01
E00677,GRAT_ENH_02,Gratuity,41.82614647501711,Observed_or_Validated,0.0002,1e-05,1.1,0.0007386374090470698,0.0007648488845497336,P06-C01
E00684,GRAT_ENH_02,Gratuity,43.893223819301845,Observed_or_Validated,0.0002,1e-05,1.1,0.0008559313587405918,0.0008878126919670629,P06-C01
E00702,GRAT_ENH_02,Gratuity,27.655030800821354,Observed_or_Validated,0.0002,1e-05,1.1,0.0003395455471885329,0.00034635201335314354,P06-C01
E00704,GRAT_ENH_02,Gratuity,40.0082135523614,Observed_or_Validated,0.0002,1e-05,1.1,0.0006529469997616033,0.0006750067307576712,P06-C01
E00710,GRAT_ENH_02,Gratuity,30.888432580424368,Observed_or_Validated,0.0002,1e-05,1.1,0.00038991320578038533,0.00039917835716438897,P06-C01
E00716,GRAT_ENH_02,Gratuity,45.03764544832307,Observed_or_Validated,0.0002,1e-05,1.1,0.0009315248408282295,0.000967052259401372,P06-C01
E00732,GRAT_ENH_02,Gratuity,36.93360711841205,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.0005378945377392538,0.0005543672136890228,P06-C01
E00748,GRAT_ENH_02,Gratuity,41.07597535934291,Observed_or_Validated,0.0002,1e-05,1.1,0.0007014699523888126,0.0007258816374007219,P06-C01
E00749,GRAT_ENH_02,Gratuity,38.88021902806297,Observed_or_Validated,0.0002,1e-05,1.1,0.0006067772585694945,0.0006265966932032324,P06-C01
E00755,GRAT_ENH_02,Gratuity,43.723477070499655,Observed_or_Validated,0.0002,1e-05,1.1,0.0008454046950670132,0.0008767777992937381,P06-C01
E00756,GRAT_ENH_02,Gratuity,29.297741273100616,Observed_or_Validated,0.0002,1e-05,1.1,0.0003631970035227296,0.00037115835754315547,P06-C01
E00758,GRAT_ENH_02,Gratuity,38.45311430527036,Observed_or_Validated,0.0002,1e-05,1.1,0.0005905509097518684,0.000609582435635306,P06-C01
E00764,GRAT_ENH_02,Gratuity,56.42436687200548,Observed_or_Validated,0.0002,1e-05,1.1,0.0023654893549812377,0.0024689911550171604,P06-C01
E00770,GRAT_ENH_02,Gratuity,37.661875427789184,Observed_or_Validated,0.0002,1e-05,1.1,0.0005621814074239011,0.0005798346890691587,P06-C01
E00771,GRAT_ENH_02,Gratuity,38.223134839151264,Observed_or_Validated,0.0002,1e-05,1.1,0.0005820834144480842,0.0006007036660482998,P06-C01
E00778,GRAT_ENH_02,Gratuity,32.876112251882276,Observed_or_Validated,0.0002,1e-05,1.1,0.00042952529997981176,0.0004407221452110684,P06-C01
E00793,GRAT_ENH_02,Gratuity,27.028062970568104,Observed_or_Validated,0.0002,1e-05,1.1,0.00033145106255481806,0.00033786213801158857,P06-C01
E00800,GRAT_ENH_02,Gratuity,32.21081451060917,Observed_or_Validated,0.0002,1e-05,1.1,0.00041542301691819666,0.00042593235865654426,P06-C01
E00808,GRAT_ENH_02,Gratuity,46.09445585215606,Observed_or_Validated,0.0002,1e-05,1.1,0.0010090461557269435,0.0010483061174880205,P06-C01
E00810,GRAT_ENH_02,Gratuity,43.99452429842574,Observed_or_Validated,0.0002,1e-05,1.1,0.0008622950253454997,0.0008944835383010402,P06-C01
E00819,GRAT_ENH_02,Gratuity,34.79808350444901,Observed_or_Validated,0.0002,1e-05,1.1,0.00047566784715474516,0.0004891126684345441,P06-C01
E00820,GRAT_ENH_02,Gratuity,51.60848733744011,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.001568402528054612,0.0016343988762830756,P06-C01
E00838,GRAT_ENH_02,Gratuity,37.27857631759069,Observed_or_Validated,0.0002,1e-05,1.1,0.0005491888539609178,0.0005662106370929108,P06-C01
E00853,GRAT_ENH_02,Gratuity,36.114989733059545,Observed_or_Validated,0.0002,1e-05,1.1,0.000512533373315307,0.0005277725285121357,P06-C01
E00862,GRAT_ENH_02,Gratuity,31.95071868583162,Observed_or_Validated,0.0002,1e-05,1.1,0.00041014837646448317,0.00042040051681791445,P06-C01
E00872,GRAT_ENH_02,Gratuity,41.478439425051334,Observed_or_Validated,0.0002,1e-05,1.1,0.0007210794954745002,0.0007464409389766156,P06-C01
E00873,GRAT_ENH_02,Gratuity,35.167693360711844,Observed_or_Validated,0.0002,1e-05,1.1,0.00048555203466407217,0.000499478089863093,P06-C01
E00874,GRAT_ENH_02,Gratuity,27.23340177960301,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.0003340490145497208,0.000340586999837563,P06-C01
E00879,GRAT_ENH_02,Gratuity,32.13141683778234,Observed_or_Validated,0.0002,1e-05,1.1,0.000413798976024424,0.00042422912973745774,P06-C01
E00889,GRAT_ENH_02,Gratuity,26.99794661190965,Observed_or_Validated,0.0002,1e-05,1.1,0.00033107428701477414,0.0003374669563876791,P06-C01
E00901,GRAT_ENH_02,Gratuity,28.251882272416154,Observed_or_Validated,0.0002,1e-05,1.1,0.00034771386711853006,0.00035491925752649626,P06-C01
E00908,GRAT_ENH_02,Gratuity,25.49760438056126,Observed_or_Validated,0.0002,1e-05,1.1,0.00031360941155887765,0.0003191487225581715,P06-C01
E00911,GRAT_ENH_02,Gratuity,41.831622176591374,Observed_or_Validated,0.0002,1e-05,1.1,0.0007389185919461054,0.0007651436776093421,P06-C01
E00915,GRAT_ENH_02,Gratuity,45.72758384668035,Observed_or_Validated,0.0002,1e-05,1.1,0.000981245414378992,0.0010191675692737643,P06-C01
E00921,GRAT_ENH_02,Gratuity,45.4757015742642,Observed_or_Validated,0.0002,1e-05,1.1,0.0009627134370579153,0.0009997433376198821,P06-C01
E00925,GRAT_ENH_02,Gratuity,30.535249828884325,Observed_or_Validated,0.0002,1e-05,1.1,0.0003836267646559215,0.00039258519738874156,P06-C01
E00945,GRAT_ENH_02,Gratuity,31.255304585900067,Observed_or_Validated,0.0002,1e-05,1.1,0.0003966712971755937,0.00040626613076351294,P06-C01
E00956,GRAT_ENH_02,Gratuity,35.16495550992471,Observed_or_Validated,0.0002,1e-05,1.1,0.0004854775309949856,0.000499399959217238,P06-C01
E00959,GRAT_ENH_02,Gratuity,22.803559206023273,Observed_or_Validated,0.0002,1e-05,1.1,0.00028788212440008815,0.0002921637525326868,P06-C01
E00971,GRAT_ENH_02,Gratuity,28.542094455852155,Observed_or_Validated,0.0002,1e-05,1.1,0.0003518566900633563,0.0003592643795115171,P06-C01
E00976,GRAT_ENH_02,Gratuity,33.57426420260096,Observed_or_Validated,0.0002,1e-05,1.1,0.0004453177357520054,0.0004572842217387844,P06-C01
E00988,GRAT_ENH_02,Gratuity,35.55099247091034,Observed_or_Validated,0.0002,1e-05,1.1,0.0004961768012760439,0.0005106200272776367,P06-C01
E01003,GRAT_ENH_02,Gratuity,20.399726214921287,Observed_or_Validated,0.0002,1e-05,1.1,0.00026988749022584463,0.00027328901464760655,P06-C01
E01006,GRAT_ENH_02,Gratuity,43.5482546201232,Observed_or_Validated,0.0002,1e-05,1.1,0.0008347156294832337,0.0008655725392081163,P06-C01
E01007,GRAT_ENH_02,Gratuity,40.97467488021903,Observed_or_Validated,0.0002,1e-05,1.1,0.0006966515746760758,0.000720829824130114,P06-C01
E01008,GRAT_ENH_02,Gratuity,45.21286789869952,Observed_or_Validated,0.0002,1e-05,1.1,0.0009438442428353033,0.0009799652651121683,P06-C01
E01014,GRAT_ENH_02,Gratuity,46.69678302532512,Observed_or_Validated,0.0002,1e-05,1.1,0.0010568508614041394,0.0010984092588490536,P06-C01
E01028,GRAT_ENH_02,Gratuity,31.548254620123203,Observed_or_Validated,0.0002,1e-05,1.1,0.0004022399600357864,0.00041210641377547203,P06-C01
E01043,GRAT_ENH_02,Gratuity,38.78165639972622,Observed_or_Validated,0.0002,1e-05,1.1,0.0006029738766194966,0.0006226086550364178,P06-C01
E01050,GRAT_ENH_02,Gratuity,23.991786447638603,Observed_or_Validated,0.0002,1e-05,1.1,0.0002984202497615004,0.00030321712404428824,P06-C01
E01060,GRAT_ENH_02,Gratuity,54.62286105407255,Observed_or_Validated,0.0002,1e-05,1.1,0.002023840645631979,0.0021113522625183134,P06-C01
E01073,GRAT_ENH_02,Gratuity,26.746064339493497,Observed_or_Validated,0.0002,1e-05,1.1,0.0003279650646505508,0.0003342058376062797,P06-C01
E01076,GRAT_ENH_02,Gratuity,26.2943189596167,Observed_or_Validated,0.0002,1e-05,1.1,0.00032257233688236584,0.00032854963094574365,P06-C01
E01082,GRAT_ENH_02,Gratuity,38.496919917864474,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.0005921849156961226,0.0006112957977194624,P06-C01
E01084,GRAT_ENH_02,Gratuity,28.739219712525667,Observed_or_Validated,0.0002,1e-05,1.1,0.00035473675082054617,0.0003622850659796123,P06-C01
E01103,GRAT_ENH_02,Gratuity,30.861054072553046,Observed_or_Validated,0.0002,1e-05,1.1,0.0003894182826885815,0.0003986592881009559,P06-C01
E01105,GRAT_ENH_02,Gratuity,23.2580424366872,Observed_or_Validated,0.0002,1e-05,1.1,0.0002917725560779125,0.00029624441537994597,P06-C01
E01112,GRAT_ENH_02,Gratuity,43.76454483230664,Observed_or_Validated,0.0002,1e-05,1.1,0.0008479358729871153,0.0008794311940167144,P06-C01
E01119,GRAT_ENH_02,Gratuity,20.11498973305955,Observed_or_Validated,0.0002,1e-05,1.1,0.00026801636794019013,0.0002713263567567967,P06-C01
E01122,GRAT_ENH_02,Gratuity,53.67008898015058,Observed_or_Validated,0.0002,1e-05,1.1,0.0018655170983982025,0.0019455752242003163,P06-C01
E01140,GRAT_ENH_02,Gratuity,29.930184804928132,Observed_or_Validated,0.0002,1e-05,1.1,0.0003733367767071851,0.0003817930618600118,P06-C01
E01152,GRAT_ENH_02,Gratuity,36.580424366872,Observed_or_Validated,0.0002,1e-05,1.1,0.0005267096698463273,0.0005426384214611674,P06-C01
E01158,GRAT_ENH_02,Gratuity,40.120465434633815,Observed_or_Validated,0.0002,1e-05,1.1,0.0006578189807282393,0.000680114978284886,P06-C01
E01160,GRAT_ENH_02,Gratuity,45.53867214236824,Observed_or_Validated,0.0002,1e-05,1.1,0.0009673048061902328,0.0010045558014124447,P06-C01
E01170,GRAT_ENH_02,Gratuity,33.30321697467488,Observed_or_Validated,0.0002,1e-05,1.1,0.00043906146411858924,0.0004507230849577456,P06-C01
E01180,GRAT_ENH_02,Gratuity,39.79739904175222,Observed_or_Validated,0.0002,1e-05,1.1,0.0006439368627947181,0.0006655595786882141,P06-C01
E01183,GRAT_ENH_02,Gratuity,21.086926762491444,Observed_or_Validated,0.0002,1e-05,1.1,0.00027461815739040195,0.0002782510896304956,P06-C01
E01184,GRAT_ENH_02,Gratuity,38.95687885010267,Observed_or_Validated,0.0002,1e-05,1.1,0.0006097602451846486,0.0006297244942698432,P06-C01
E01198,GRAT_ENH_02,Gratuity,40.96646132785763,Observed_or_Validated,0.0002,1e-05,1.1,0.0006962629305069325,0.000720422350235076,P06-C01
E01203,GRAT_ENH_02,Gratuity,42.078028747433265,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.0007517249144766953,0.0007785697753362401,P06-C01
E01213,GRAT_ENH_02,Gratuity,24.18069815195072,Observed_or_Validated,0.0002,1e-05,1.1,0.0003002083763686792,0.0003050926663456326,P06-C01
E01216,GRAT_ENH_02,Gratuity,51.53730321697468,Observed_or_Validated,0.0002,1e-05,1.1,0.0015591499264669116,0.0016247068119061537,P06-C01
E01217,GRAT_ENH_02,Gratuity,51.75633127994524,Observed_or_Validated,0.0002,1e-05,1.1,0.001587821226330711,0.0016547395816742295,P06-C01
E01219,GRAT_ENH_02,Gratuity,29.423682409308693,Observed_or_Validated,0.0002,1e-05,1.1,0.00036516773840834706,0.000373225294567349,P06-C01
E01220,GRAT_ENH_02,Gratuity,36.309377138945926,Observed_or_Validated,0.0002,1e-05,1.1,0.0005183776818082156,0.0005339011562522324,P06-C01
E01237,GRAT_ENH_02,Gratuity,35.9151266255989,Observed_or_Validated,0.0002,1e-05,1.1,0.0005066362738261721,0.0005215885034604424,P06-C01
E01238,GRAT_ENH_02,Gratuity,29.44284736481862,Reconstructed_or_Imputed,0.0002,1e-05,1.1,0.0003654697120464526,0.000373542008780569,P06-C01
E01256,GRAT_ENH_02,Gratuity,20.016427104722794,Observed_or_Validated,0.0002,1e-05,1.1,0.0002673804124616615,0.00027065928935595513,P06-C01
E01258,GRAT_ENH_02,Gratuity,41.007529089664615,Observed_or_Validated,0.0002,1e-05,1.1,0.0006982091973715297,0.0007224629116406911,P06-C01
E01265,GRAT_ENH_02,Gratuity,31.652292950034223,Observed_or_Validated,0.0002,1e-05,1.1,0.0004042553292667452,0.00041422007735117964,P06-C01
E01269,GRAT_ENH_02,Gratuity,34.57084188911704,Observed_or_Validated,0.0002,1e-05,1.1,0.000469761503813464,0.0004829187101628757,P06-C01
E01272,GRAT_ENH_02,Gratuity,50.31074606433949,Observed_or_Validated,0.0002,1e-05,1.1,0.0014091964734588003,0.0014676180301908066,P06-C01
E01278,GRAT_ENH_02,Gratuity,39.23066392881588,Observed_or_Validated,0.0002,1e-05,1.1,0.0006205934650303943,0.0006410835499304178,P06-C01
E01298,GRAT_ENH_02,Gratuity,28.76933607118412,Observed_or_Validated,0.0002,1e-05,1.1,0.0003551815445644822,0.00036275157700599726,P06-C01
E01301,GRAT_ENH_02,Gratuity,41.07871321013005,Observed_or_Validated,0.0002,1e-05,1.1,0.0007016008255656242,0.0007260188506235545,P06-C01
E01302,GRAT_ENH_02,Gratuity,38.37645448323067,Observed_or_Validated,0.0002,1e-05,1.1,0.0005877077639122786,0.0006066012043002135,P06-C01
E01348,GRAT_ENH_02,Gratuity,40.14236824093087,Observed_or_Validated,0.0002,1e-05,1.1,0.0006587757037668272,0.0006811180945092283,P06-C01
E01400,GRAT_ENH_02,Gratuity,49.41820670773443,Observed_or_Validated,0.0002,1e-05,1.1,0.0013105861965583302,0.0013643020477812993,P06-C01
E01406,GRAT_ENH_02,Gratuity,47.30732375085558,Observed_or_Validated,0.0002,1e-05,1.1,0.0011081909244805349,0.0011522149379225462,P06-C01
E01411,GRAT_ENH_02,Gratuity,21.3305954825462,Observed_or_Validated,0.0002,1e-05,1.1,0.00027637137733533136,0.00028009006475477233,P06-C01
E01416,GRAT_ENH_02,Gratuity,45.93018480492813,Observed_or_Validated,0.0002,1e-05,1.1,0.0009964778065117493,0.0010351330686645284,P06-C01
E01418,GRAT_ENH_02,Gratuity,33.880903490759756,Observed_or_Validated,0.0002,1e-05,1.1,0.00045259315127704194,0.0004649141106466626,P06-C01
