rule_id,plan_id,product_type,rule_category,parameter_name,parameter_value,value_type,unit,formula_template,effective_from,effective_to,dashboard_editable_flag,source_reference,parameter_value_source,numeric_value,text_value,boolean_value,value_parse_success_flag,active_at_valuation_flag,formula_supported_flag,statutory_locked_flag,effective_dashboard_editable_flag,parameter_value_display,base_parameter_value_display,override_applied_flag,override_source
R0028,GRAT_ENH_02,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Text,model,gompertz_makeham,2026-09-01,,No,Book Chapter 7; illustrative model family,Gompertz-Makeham,,Gompertz-Makeham,,True,True,True,False,False,Gompertz-Makeham,Gompertz-Makeham,False,
R0029,GRAT_ENH_02,Gratuity,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,0.0002,0.0002,,,True,True,True,False,True,0.0002,0.0002,False,
R0030,GRAT_ENH_02,Gratuity,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1e-05,1e-05,,,True,True,True,False,True,1e-05,1e-05,False,
R0031,GRAT_ENH_02,Gratuity,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1.1,1.1,,,True,True,True,False,True,1.1,1.1,False,
R0032,GRAT_ENH_02,Gratuity,Demographic,withdrawal_model,Weibull,Text,model,weibull_withdrawal,2026-09-01,,No,Book Chapter 8; illustrative model family,Weibull,,Weibull,,True,True,True,False,False,Weibull,Weibull,False,
R0033,GRAT_ENH_02,Gratuity,Demographic,weibull_eta,15.0,Numeric,years,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,15.0,15.0,,,True,True,True,False,True,15,15,False,
R0034,GRAT_ENH_02,Gratuity,Demographic,weibull_k,0.75,Numeric,shape,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,0.75,0.75,,,True,True,True,False,True,0.75,0.75,False,
R0035,GRAT_ENH_02,Gratuity,Demographic,disability_annual_q,0.0015,Numeric,probability,bernoulli_disability,2026-09-01,,Yes,Synthetic model parameter,0.0015,0.0015,,,True,True,True,False,True,0.0015,0.0015,False,
R0036,GRAT_ENH_02,Gratuity,Demographic,early_retirement_model,Logistic,Text,model,logistic_early_retirement,2026-09-01,,No,Book Chapter 10; illustrative model family,Logistic,,Logistic,,True,True,True,False,False,Logistic,Logistic,False,
R0037,GRAT_EXEC_03,Gratuity,Benefit,benefit_days,20,Numeric,days,gratuity_days_over_divisor,2026-09-01,,Yes,Synthetic enhanced employer scheme; statutory minimum remains floor,20,20.0,,,True,True,True,False,True,20,20,False,
R0038,GRAT_EXEC_03,Gratuity,Benefit,divisor_days,26,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,26,26.0,,,True,True,True,False,False,26,26,False,
R0039,GRAT_EXEC_03,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,eligible_gratuity_wages_monthly,,eligible_gratuity_wages_monthly,,True,True,True,False,False,eligible_gratuity_wages_monthly,eligible_gratuity_wages_monthly,False,
R0040,GRAT_EXEC_03,Gratuity,Eligibility,vesting_years_resignation,5,Numeric,years,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,5,5.0,,,True,True,True,False,False,5,5,False,
R0041,GRAT_EXEC_03,Gratuity,Eligibility,death_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0042,GRAT_EXEC_03,Gratuity,Eligibility,disability_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0043,GRAT_EXEC_03,Gratuity,Eligibility,part_year_rounding_threshold_months,6,Numeric,months,qualifying_service_rounding,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,6,6.0,,,True,True,True,False,False,6,6,False,
R0044,GRAT_EXEC_03,Gratuity,Financial,salary_escalation_rate,0.065,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic valuation assumption; dashboard scenario input,0.065,0.065,,,True,True,True,False,True,0.065,0.065,False,
R0045,GRAT_EXEC_03,Gratuity,Financial,discount_rate,0.068,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic valuation assumption; governed under applicable actuarial/accounting basis,0.068,0.068,,,True,True,True,False,True,0.068,0.068,False,
R0046,GRAT_EXEC_03,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Text,model,gompertz_makeham,2026-09-01,,No,Book Chapter 7; illustrative model family,Gompertz-Makeham,,Gompertz-Makeham,,True,True,True,False,False,Gompertz-Makeham,Gompertz-Makeham,False,
R0047,GRAT_EXEC_03,Gratuity,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,0.0002,0.0002,,,True,True,True,False,True,0.0002,0.0002,False,
R0048,GRAT_EXEC_03,Gratuity,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1e-05,1e-05,,,True,True,True,False,True,1e-05,1e-05,False,
R0049,GRAT_EXEC_03,Gratuity,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1.1,1.1,,,True,True,True,False,True,1.1,1.1,False,
R0050,GRAT_EXEC_03,Gratuity,Demographic,withdrawal_model,Weibull,Text,model,weibull_withdrawal,2026-09-01,,No,Book Chapter 8; illustrative model family,Weibull,,Weibull,,True,True,True,False,False,Weibull,Weibull,False,
R0051,GRAT_EXEC_03,Gratuity,Demographic,weibull_eta,15.0,Numeric,years,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,15.0,15.0,,,True,True,True,False,True,15,15,False,
R0052,GRAT_EXEC_03,Gratuity,Demographic,weibull_k,0.75,Numeric,shape,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,0.75,0.75,,,True,True,True,False,True,0.75,0.75,False,
R0053,GRAT_EXEC_03,Gratuity,Demographic,disability_annual_q,0.0015,Numeric,probability,bernoulli_disability,2026-09-01,,Yes,Synthetic model parameter,0.0015,0.0015,,,True,True,True,False,True,0.0015,0.0015,False,
R0054,GRAT_EXEC_03,Gratuity,Demographic,early_retirement_model,Logistic,Text,model,logistic_early_retirement,2026-09-01,,No,Book Chapter 10; illustrative model family,Logistic,,Logistic,,True,True,True,False,False,Logistic,Logistic,False,
R0055,SUP_DC_01,DC_Superannuation,Contribution,contribution_basis,basic_salary_monthly,Text,column,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,basic_salary_monthly,,basic_salary_monthly,,True,True,True,False,True,basic_salary_monthly,basic_salary_monthly,False,
R0056,SUP_DC_01,DC_Superannuation,Contribution,employer_contribution_rate,0.15,Numeric,decimal_rate,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.15,0.15,,,True,True,True,False,True,0.15,0.15,False,
R0057,SUP_DC_01,DC_Superannuation,Contribution,employee_contribution_rate,0.0,Numeric,decimal_rate,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.0,0.0,,,True,True,True,False,True,0,0,False,
R0058,SUP_DC_01,DC_Superannuation,Contribution,contribution_frequency,Monthly,Text,frequency,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,Monthly,,Monthly,,True,True,True,False,True,Monthly,Monthly,False,
R0059,SUP_DC_01,DC_Superannuation,Financial,expected_investment_return,0.065,Numeric,decimal_rate,dc_accumulation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.065,0.065,,,True,True,True,False,True,0.065,0.065,False,
R0060,SUP_DC_01,DC_Superannuation,Financial,annual_charges_rate,0.004,Numeric,decimal_rate,dc_accumulation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.004,0.004,,,True,True,True,False,True,0.004,0.004,False,
R0061,SUP_DC_01,DC_Superannuation,Eligibility,retirement_age,60,Numeric,years,dc_retirement,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,60,60.0,,,True,True,True,False,True,60,60,False,
R0062,SUP_DC_02,DC_Superannuation,Contribution,contribution_basis,pensionable_salary_annual,Text,column,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,pensionable_salary_annual,,pensionable_salary_annual,,True,True,True,False,True,pensionable_salary_annual,pensionable_salary_annual,False,
R0063,SUP_DC_02,DC_Superannuation,Contribution,employer_contribution_rate,0.1,Numeric,decimal_rate,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.1,0.1,,,True,True,True,False,True,0.1,0.1,False,
R0064,SUP_DC_02,DC_Superannuation,Contribution,employee_contribution_rate,0.05,Numeric,decimal_rate,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.05,0.05,,,True,True,True,False,True,0.05,0.05,False,
R0065,SUP_DC_02,DC_Superannuation,Contribution,contribution_frequency,Monthly,Text,frequency,dc_contribution,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,Monthly,,Monthly,,True,True,True,False,True,Monthly,Monthly,False,
R0066,SUP_DC_02,DC_Superannuation,Financial,expected_investment_return,0.067,Numeric,decimal_rate,dc_accumulation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.067,0.067,,,True,True,True,False,True,0.067,0.067,False,
R0067,SUP_DC_02,DC_Superannuation,Financial,annual_charges_rate,0.004,Numeric,decimal_rate,dc_accumulation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.004,0.004,,,True,True,True,False,True,0.004,0.004,False,
R0068,SUP_DC_02,DC_Superannuation,Eligibility,retirement_age,60,Numeric,years,dc_retirement,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,60,60.0,,,True,True,True,False,True,60,60,False,
R0069,PEN_DB_01,DB_Pension,Benefit,accrual_rate,0.015,Numeric,decimal_rate,db_pension_accrual,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.015,0.015,,,True,True,True,False,True,0.015,0.015,False,
R0070,PEN_DB_01,DB_Pension,Benefit,pensionable_salary_basis,pensionable_salary_annual,Text,column,db_pension_accrual,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,pensionable_salary_annual,,pensionable_salary_annual,,True,True,True,False,True,pensionable_salary_annual,pensionable_salary_annual,False,
R0071,PEN_DB_01,DB_Pension,Benefit,spouse_pension_percentage,0.5,Numeric,decimal_rate,spouse_pension,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.5,0.5,,,True,True,True,False,True,0.5,0.5,False,
R0072,PEN_DB_01,DB_Pension,Eligibility,retirement_age,60,Numeric,years,db_pension_retirement,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,60,60.0,,,True,True,True,False,True,60,60,False,
R0073,PEN_DB_01,DB_Pension,Financial,salary_escalation_rate,0.06,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.06,0.06,,,True,True,True,False,True,0.06,0.06,False,
R0074,PEN_DB_01,DB_Pension,Financial,discount_rate,0.07,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.07,0.07,,,True,True,True,False,True,0.07,0.07,False,
R0075,PEN_DB_01,DB_Pension,Financial,pension_escalation_rate,0.03,Numeric,decimal_rate,pension_escalation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.03,0.03,,,True,True,True,False,True,0.03,0.03,False,
R0076,PEN_DB_01,DB_Pension,Demographic,pensioner_mortality_model,Gompertz-Makeham,Text,model,pensioner_survival,2026-09-01,,No,Book Chapters 7 and 22; illustrative model family,Gompertz-Makeham,,Gompertz-Makeham,,True,True,True,False,False,Gompertz-Makeham,Gompertz-Makeham,False,
R0077,PEN_DB_01,DB_Pension,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,0.0002,0.0002,,,True,True,True,False,True,0.0002,0.0002,False,
R0078,PEN_DB_01,DB_Pension,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1e-05,1e-05,,,True,True,True,False,True,1e-05,1e-05,False,
R0079,PEN_DB_01,DB_Pension,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1.1,1.1,,,True,True,True,False,True,1.1,1.1,False,
R0080,PEN_DB_02,DB_Pension,Benefit,accrual_rate,0.02,Numeric,decimal_rate,db_pension_accrual,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.02,0.02,,,True,True,True,False,True,0.02,0.02,False,
R0081,PEN_DB_02,DB_Pension,Benefit,pensionable_salary_basis,pensionable_salary_annual,Text,column,db_pension_accrual,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,pensionable_salary_annual,,pensionable_salary_annual,,True,True,True,False,True,pensionable_salary_annual,pensionable_salary_annual,False,
R0082,PEN_DB_02,DB_Pension,Benefit,spouse_pension_percentage,0.67,Numeric,decimal_rate,spouse_pension,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.67,0.67,,,True,True,True,False,True,0.67,0.67,False,
R0083,PEN_DB_02,DB_Pension,Eligibility,retirement_age,60,Numeric,years,db_pension_retirement,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,60,60.0,,,True,True,True,False,True,60,60,False,
R0084,PEN_DB_02,DB_Pension,Financial,salary_escalation_rate,0.065,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.065,0.065,,,True,True,True,False,True,0.065,0.065,False,
R0085,PEN_DB_02,DB_Pension,Financial,discount_rate,0.068,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.068,0.068,,,True,True,True,False,True,0.068,0.068,False,
R0086,PEN_DB_02,DB_Pension,Financial,pension_escalation_rate,0.03,Numeric,decimal_rate,pension_escalation,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.03,0.03,,,True,True,True,False,True,0.03,0.03,False,
R0087,PEN_DB_02,DB_Pension,Demographic,pensioner_mortality_model,Gompertz-Makeham,Text,model,pensioner_survival,2026-09-01,,No,Book Chapters 7 and 22; illustrative model family,Gompertz-Makeham,,Gompertz-Makeham,,True,True,True,False,False,Gompertz-Makeham,Gompertz-Makeham,False,
R0088,PEN_DB_02,DB_Pension,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,0.0002,0.0002,,,True,True,True,False,True,0.0002,0.0002,False,
R0089,PEN_DB_02,DB_Pension,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1e-05,1e-05,,,True,True,True,False,True,1e-05,1e-05,False,
R0090,PEN_DB_02,DB_Pension,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1.1,1.1,,,True,True,True,False,True,1.1,1.1,False,
R0091,GTI_FLAT_01,GTI,Benefit,cover_basis,Flat,Text,basis,gti_flat_cover,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,Flat,,Flat,,True,True,True,False,True,Flat,Flat,False,
R0092,GTI_FLAT_01,GTI,Benefit,flat_sum_assured,2000000,Numeric,INR,gti_flat_cover,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,2000000,2000000.0,,,True,True,True,False,True,2000000,2000000,False,
R0093,GTI_FLAT_01,GTI,Pricing,gross_premium_loading_rate,0.2,Numeric,decimal_rate,gti_gross_premium,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.2,0.2,,,True,True,True,False,True,0.2,0.2,False,
R0094,GTI_FLAT_01,GTI,Underwriting,free_cover_limit,5000000,Numeric,INR,gti_underwriting,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,5000000,5000000.0,,,True,True,True,False,True,5000000,5000000,False,
R0095,GTI_SAL_02,GTI,Benefit,cover_basis,Salary Multiple,Text,basis,gti_salary_multiple,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,Salary Multiple,,Salary Multiple,,True,True,True,False,True,Salary Multiple,Salary Multiple,False,
R0096,GTI_SAL_02,GTI,Benefit,salary_basis,gross_compensation_annual,Text,column,gti_salary_multiple,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,gross_compensation_annual,,gross_compensation_annual,,True,True,True,False,True,gross_compensation_annual,gross_compensation_annual,False,
R0097,GTI_SAL_02,GTI,Benefit,salary_multiple,3.0,Numeric,multiple,gti_salary_multiple,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,3.0,3.0,,,True,True,True,False,True,3,3,False,
R0098,GTI_SAL_02,GTI,Benefit,minimum_cover,1500000,Numeric,INR,gti_salary_multiple,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,1500000,1500000.0,,,True,True,True,False,True,1500000,1500000,False,
R0099,GTI_SAL_02,GTI,Benefit,maximum_cover,10000000,Numeric,INR,gti_salary_multiple,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,10000000,10000000.0,,,True,True,True,False,True,10000000,10000000,False,
R0100,GTI_SAL_02,GTI,Pricing,gross_premium_loading_rate,0.2,Numeric,decimal_rate,gti_gross_premium,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.2,0.2,,,True,True,True,False,True,0.2,0.2,False,
R0101,GTI_SAL_02,GTI,Underwriting,free_cover_limit,7500000,Numeric,INR,gti_underwriting,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,7500000,7500000.0,,,True,True,True,False,True,7500000,7500000,False,
R0102,GTI_GRADE_03,GTI,Benefit,cover_basis,Grade Based,Text,basis,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,Grade Based,,Grade Based,,True,True,True,False,True,Grade Based,Grade Based,False,
R0103,GTI_GRADE_03,GTI,Benefit,E1_cover,1500000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,1500000,1500000.0,,,True,True,True,False,True,1500000,1500000,False,
R0104,GTI_GRADE_03,GTI,Benefit,E2_cover,2000000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,2000000,2000000.0,,,True,True,True,False,True,2000000,2000000,False,
R0105,GTI_GRADE_03,GTI,Benefit,E3_cover,2500000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,2500000,2500000.0,,,True,True,True,False,True,2500000,2500000,False,
R0106,GTI_GRADE_03,GTI,Benefit,E4_cover,3000000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,3000000,3000000.0,,,True,True,True,False,True,3000000,3000000,False,
R0107,GTI_GRADE_03,GTI,Benefit,E5_cover,4000000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,4000000,4000000.0,,,True,True,True,False,True,4000000,4000000,False,
R0108,GTI_GRADE_03,GTI,Benefit,E6_cover,5000000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,5000000,5000000.0,,,True,True,True,False,True,5000000,5000000,False,
R0109,GTI_GRADE_03,GTI,Benefit,E7_cover,7500000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,7500000,7500000.0,,,True,True,True,False,True,7500000,7500000,False,
R0110,GTI_GRADE_03,GTI,Benefit,E8_cover,10000000,Numeric,INR,gti_grade_based,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,10000000,10000000.0,,,True,True,True,False,True,10000000,10000000,False,
R0111,GTI_GRADE_03,GTI,Pricing,gross_premium_loading_rate,0.2,Numeric,decimal_rate,gti_gross_premium,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,0.2,0.2,,,True,True,True,False,True,0.2,0.2,False,
R0112,GTI_GRADE_03,GTI,Underwriting,free_cover_limit,5000000,Numeric,INR,gti_underwriting,2026-09-01,,Yes,Synthetic scheme design - Hessian-AI educational dashboard,5000000,5000000.0,,,True,True,True,False,True,5000000,5000000,False,
