employee_id,date_of_birth,date_of_joining,exit_date,employment_status,exit_reason,retirement_age,spouse_eligible_flag,spouse_date_of_birth,superannuation_join_date,diagnostic_attained_age_years,diagnostic_joining_age_years,diagnostic_service_years,missing_date_of_birth_flag,missing_date_of_joining_flag,missing_retirement_age_flag,spouse_eligible_missing_dob_flag,dob_after_valuation_flag,doj_after_valuation_flag,doj_on_or_before_dob_flag,exit_before_joining_flag,active_with_exit_date_flag,inactive_without_exit_date_flag,active_with_exit_reason_flag,inactive_without_exit_reason_flag,status_exit_reason_mismatch_flag,superannuation_join_before_company_join_flag,superannuation_join_after_valuation_flag,unusual_joining_age_flag,impossible_attained_age_flag,active_past_retirement_age_flag
E00963,1986-10-07,2021-07-22,,Exited,Withdrawal,60,No,,2022-01-17,39.90143737166324,34.789869952087614,5.111567419575633,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00984,1984-10-21,2002-10-21,,Active,,60,No,,2010-12-30,41.86173853524983,17.998631074606433,23.863107460643395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01012,1997-08-23,2015-08-23,,Active,,60,Yes,1996-11-12,2016-03-26,29.023956194387406,17.998631074606433,11.025325119780971,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01013,1994-01-10,2012-01-10,,Active,,60,No,,2014-10-11,32.64065708418891,17.998631074606433,14.642026009582478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01066,,2020-05-15,,Active,,60,No,,,,,6.297056810403833,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01082,,2024-06-25,,Active,,60,Yes,1990-03-25,2024-09-11,,,2.184804928131417,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01107,,2021-05-13,,Active,,60,No,,2021-07-28,,,5.30321697467488,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01131,1982-05-08,,,Active,,60,Yes,1982-10-24,2017-03-02,44.31759069130732,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01162,,2022-01-07,,Active,,60,Yes,1999-08-06,2022-10-22,,,4.648870636550308,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01203,1984-08-03,,,Active,,60,No,,2024-07-15,42.078028747433265,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01225,1981-12-30,2021-08-05,,Exited,Withdrawal,60,Yes,1982-07-18,2021-10-22,44.67077344284736,39.59753593429158,5.073237508555784,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01234,1996-07-24,2014-07-24,,Active,,60,No,,2015-01-06,30.105407255304584,17.998631074606433,12.106776180698152,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01248,,2016-03-31,,Active,,60,Yes,1998-02-20,2016-09-05,,,10.420260095824778,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01252,1997-09-23,2015-09-23,2024-12-28,Exited,Withdrawal,60,Yes,1996-02-03,,28.93908281998631,17.998631074606433,9.264887063655031,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01297,1996-09-17,2014-09-17,,Active,,60,No,,2015-07-28,29.95482546201232,17.998631074606433,11.956194387405887,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01306,1992-05-04,2010-05-04,,Active,,60,No,,,34.327173169062284,17.998631074606433,16.32854209445585,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01313,1997-04-11,2015-04-11,2022-11-06,Early Retired,Early Retirement,60,No,,,29.39082819986311,17.998631074606433,7.572895277207392,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01320,2005-12-25,2023-12-25,,Active,,60,Yes,2004-03-18,2024-01-02,20.684462696783026,17.998631074606433,2.6858316221765914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01328,,2020-08-11,,Active,,60,Yes,1988-02-22,2021-03-25,,,6.056125941136208,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01338,2006-06-17,2024-09-01,2024-11-13,Deceased,Withdrawal,60,No,,2024-12-14,20.20807665982204,18.209445585215605,0.1998631074606434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
E01341,1988-11-10,2024-03-26,,Deceased,Death,60,No,,2025-03-24,37.80698151950719,35.37303216974675,2.433949349760438,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01370,2003-02-03,,,Active,,60,No,,,23.575633127994525,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01373,1966-02-03,2016-11-05,,Active,,60,Yes,1963-12-08,2016-11-20,60.57494866529774,50.75427789185489,9.820670773442847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E01390,1965-08-03,2014-01-31,,Active,,60,Yes,1961-06-15,2014-04-28,61.07871321013005,48.49555099247091,12.583162217659138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E01395,2001-12-11,2019-12-11,,Active,,60,No,,2020-11-08,24.722792607802873,17.998631074606433,6.72416153319644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01396,1997-05-02,2015-05-02,2024-02-28,Disabled,Disability,60,No,,,29.333333333333332,17.998631074606433,8.826830937713895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01408,2006-10-27,2024-10-27,,Exited,Withdrawal,60,No,,,19.8466803559206,18.001368925393567,1.8453114305270362,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01413,,2019-09-11,,Active,,60,Yes,1982-10-21,,,,6.973305954825462,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01423,1985-09-05,2019-08-24,,Retired,Retirement,60,No,,,40.988364134154686,33.96577686516085,7.02258726899384,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01424,1992-10-30,2020-04-11,2024-04-29,Active,Withdrawal,60,No,,2020-09-29,33.83709787816564,27.446954140999317,4.049281314168378,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E01429,1992-12-23,2010-12-23,,Active,,60,No,,,33.68925393566051,17.998631074606433,15.690622861054072,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01435,2005-06-20,2023-06-20,,Active,,60,No,,,21.19917864476386,17.998631074606433,3.2005475701574264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01439,,2023-03-22,,Active,,60,Yes,1978-07-07,,,,3.4469541409993156,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01442,2005-06-07,2023-06-07,,Active,,60,No,,2023-10-21,21.234770704996578,17.998631074606433,3.2361396303901437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01458,1986-10-15,2012-09-12,2023-09-16,Deceased,Withdrawal,60,No,,,39.879534565366185,25.911019849418206,11.008898015058179,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
E01460,,2024-10-26,,Active,,60,Yes,1982-05-25,2025-09-07,,,1.8480492813141685,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01488,1996-11-09,2023-08-11,,Exited,Withdrawal,60,Yes,1998-12-01,2024-04-17,29.809719370294317,26.751540041067763,3.058179329226557,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01508,1998-01-25,2016-01-25,,Active,,60,Yes,1995-11-13,,28.59958932238193,17.998631074606433,10.600958247775496,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01511,,2021-12-05,,Active,,60,Yes,1979-04-14,2022-08-27,,,4.739219712525667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01512,1993-01-08,,,Active,,60,Yes,1989-12-06,2021-06-01,33.64544832306639,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01519,1995-12-21,,,Active,,60,No,,2015-03-29,30.69678302532512,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01523,1999-05-11,2017-05-11,2025-12-04,Active,Withdrawal,60,No,,2018-02-05,27.310061601642712,18.001368925393567,8.566735112936344,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E01525,1988-05-09,2023-01-17,,Early Retired,Early Retirement,60,No,,,38.313483915126625,34.691307323750856,3.62217659137577,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E01536,1997-06-14,2015-06-14,,Active,,60,Yes,1998-02-07,2016-05-30,29.215605749486652,17.998631074606433,11.21697467488022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01545,1997-03-20,2015-03-20,,Active,,60,Yes,1995-08-30,2016-02-01,29.451060917180012,17.998631074606433,11.45242984257358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01548,2004-12-10,2022-12-10,,Active,,60,No,,,21.724845995893222,17.998631074606433,3.7262149212867897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01551,2001-03-14,2019-03-14,,Active,,60,No,,,25.467488021902806,17.998631074606433,7.468856947296373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01560,1988-03-20,2000-03-20,2026-07-23,Active,Withdrawal,60,Yes,1984-05-30,,38.450376454483234,12.0,26.340862422997947,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
E01572,1968-12-03,1981-12-03,,Active,,60,No,,,57.74401095140315,12.999315537303216,44.74469541409993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01609,1984-09-28,,,Active,,60,Yes,1983-04-13,2012-08-07,41.92470910335387,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01612,,2017-08-07,,Active,,60,No,,2018-01-08,,,9.067761806981519,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01684,1975-09-22,,,Active,,60,Yes,1977-06-02,2022-12-18,50.94318959616701,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01690,2004-07-22,2022-07-22,,Active,,60,Yes,2007-11-28,2023-01-26,22.11088295687885,17.998631074606433,4.112251882272417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01714,1996-04-28,2014-04-28,,Active,,60,No,,2015-03-07,30.34360027378508,17.998631074606433,12.344969199178644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01752,1998-01-18,2016-01-18,,Active,,60,Yes,2007-01-11,2016-02-04,28.618754277891856,17.998631074606433,10.620123203285422,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01775,2004-04-28,2022-04-28,,Active,,60,No,,2023-01-21,22.34360027378508,17.998631074606433,4.344969199178645,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01777,1984-03-19,,,Active,,60,Yes,1983-10-28,2021-12-26,42.45311430527036,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01802,1971-01-08,2019-07-30,2025-06-24,Deceased,Withdrawal,60,Yes,1973-08-13,2020-05-10,55.64681724845996,48.55578370978782,5.90280629705681,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
E01804,1984-03-29,,,Active,,60,No,,,42.42573579739904,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01813,2004-08-12,2022-08-12,,Active,,60,No,,2022-12-02,22.053388090349078,17.998631074606433,4.054757015742642,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01820,1965-06-10,2022-12-09,,Active,,60,Yes,1971-10-31,2023-05-20,61.22655715263518,57.497604380561256,3.728952772073922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E01877,,2024-09-17,,Active,,60,Yes,1996-06-04,,,,1.9548254620123204,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01878,1989-03-09,2007-03-09,,Active,,60,Yes,1986-12-07,,37.48117727583847,17.998631074606433,19.482546201232033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01889,1980-06-05,,2022-05-02,Deceased,Death,60,Yes,1976-08-20,,46.23956194387406,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01914,1993-01-25,2011-01-25,,Active,,60,No,,2014-05-01,33.59890485968515,17.998631074606433,15.600273785078713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01923,2000-09-01,,,Active,,60,No,,,25.998631074606433,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01928,,2024-11-18,,Active,,60,No,,2025-05-05,,,1.78507871321013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01939,1996-12-16,2014-12-16,,Active,,60,No,,2015-06-22,29.70841889117043,17.998631074606433,11.709787816563997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E01953,1965-04-29,2009-04-07,,Active,,60,Yes,1972-04-23,2011-01-25,61.34154688569473,43.93976728268309,17.401779603011637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E01984,1992-09-19,2010-09-19,,Active,,60,No,,2014-11-28,33.949349760438054,17.998631074606433,15.950718685831623,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02015,,2024-10-28,,Active,,60,No,,,,,1.842573579739904,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02197,,2023-04-17,,Active,,60,Yes,1985-08-11,,,,3.375770020533881,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02222,,2022-08-23,,Active,,60,Yes,2002-07-22,,,,4.024640657084189,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02232,2005-08-19,2023-08-19,,Active,,60,No,,2023-09-19,21.034907597535934,17.998631074606433,3.0362765229295,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02248,1978-12-11,,,Active,,60,Yes,1974-09-11,2014-05-22,47.723477070499655,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02302,,2019-03-16,,Active,,60,No,,2020-02-06,,,7.4633812457221085,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02323,1996-11-15,2014-11-15,,Active,,60,No,,2015-01-21,29.793292265571527,17.998631074606433,11.794661190965092,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02359,1965-04-15,2003-01-01,,Exited,Withdrawal,60,Yes,1970-12-10,2010-04-29,61.379876796714576,37.713894592744694,23.665982203969882,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E02368,1983-07-25,1996-07-25,,Active,,60,No,,2015-03-15,43.1047227926078,13.00205338809035,30.102669404517453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02435,,2021-05-04,,Active,,60,No,,2022-04-24,,,5.327857631759069,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02436,1985-09-08,2020-03-14,2024-04-18,Active,Withdrawal,60,Yes,1985-01-20,2020-11-25,40.98015058179329,34.51334702258727,4.095824777549623,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E02443,,2017-08-11,,Active,,60,Yes,1994-02-14,,,,9.05681040383299,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02455,1997-12-23,2015-12-23,,Exited,Withdrawal,60,No,,,28.689938398357288,17.998631074606433,10.691307323750856,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
E02469,1998-10-11,2021-04-04,,Exited,Withdrawal,60,No,,2021-08-15,27.890485968514717,22.480492813141684,5.409993155373032,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E02477,2004-03-12,2022-03-12,,Active,,60,No,,,22.472279260780287,17.998631074606433,4.473648186173854,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02511,1981-06-21,,,Active,,60,Yes,1980-09-27,2024-09-26,45.19644079397673,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02513,2004-09-07,2022-09-07,,Active,,60,No,,,21.982203969883642,17.998631074606433,3.9835728952772076,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02517,1980-06-09,2019-06-07,,Exited,Withdrawal,60,Yes,1987-10-22,2019-06-18,46.22861054072553,38.992470910335385,7.236139630390143,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E02523,1996-04-23,2014-04-23,,Active,,60,No,,,30.357289527720738,17.998631074606433,12.358658453114305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02533,,2022-08-12,2025-10-30,Exited,Withdrawal,60,No,,,,,3.216974674880219,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02534,2000-04-10,2018-04-10,,Active,,60,No,,,26.392881587953458,17.998631074606433,8.394250513347023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02548,1979-04-23,,,Active,,60,Yes,1979-03-07,,47.35934291581109,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02565,,2016-02-15,,Active,,60,Yes,1994-10-12,2016-03-13,,,10.543463381245722,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02587,2004-07-31,2022-07-31,,Active,,60,No,,2023-05-09,22.086242299794662,17.998631074606433,4.087611225188227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02647,1981-03-08,1999-03-08,,Active,,60,Yes,1986-09-29,,45.4839151266256,17.998631074606433,27.485284052019164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E02671,1996-08-15,,,Active,,60,No,,,30.04517453798768,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
